A1BG	alpha-1-B glycoprotein 
MARK4	microtubule affinity regulating kinase 4 
MARS1	methionyl-tRNA synthetase 1 
MARS2	methionyl-tRNA synthetase 2, mitochondrial 
MASP2	mannan binding lectin serine peptidase 2 
MAST1	microtubule associated serine/threonine kinase 1 
MAT1A	methionine adenosyltransferase 1A 
MAT2A	methionine adenosyltransferase 2A 
MAT2B	methionine adenosyltransferase 2B 
MATK	megakaryocyte-associated tyrosine kinase 
MB	myoglobin 
MBL2	mannose binding lectin 2 
MC1R	melanocortin 1 receptor 
MC2R	melanocortin 2 receptor 
MC3R	melanocortin 3 receptor 
MC4R	melanocortin 4 receptor 
MC5R	melanocortin 5 receptor 
MCAT	malonyl-CoA-acyl carrier protein transacylase 
MCCC1	methylcrotonoyl-CoA carboxylase 1 
MCCC2	methylcrotonoyl-CoA carboxylase 2 
MCFD2	multiple coagulation factor deficiency 2 
MCHR1	melanin concentrating hormone receptor 1 
MCL1	MCL1 apoptosis regulator, BCL2 family member 
MDGA2	MAM domain containing glycosylphosphatidylinositol anchor 2 
MDH1	malate dehydrogenase 1 
MDH2	malate dehydrogenase 2 
MDM2	MDM2 proto-oncogene 
MDM4	MDM4 regulator of p53 
ME1	malic enzyme 1 
ME2	malic enzyme 2 
ME3	malic enzyme 3 
MED1	mediator complex subunit 1 
MEG3	maternally expressed 3 
MELK	maternal embryonic leucine zipper kinase 
MERTK	MER proto-oncogene, tyrosine kinase 
MET	MET proto-oncogene, receptor tyrosine kinase 
METAP1	methionyl aminopeptidase 1 
METAP2	methionyl aminopeptidase 2 
METTL21A	methyltransferase like 21A 
MEX3C	mex-3 RNA binding family member C 
MGAM	maltase-glucoamylase 
MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase 
MGAT4A	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A 
MGMT	O-6-methylguanine-DNA methyltransferase 
MGP	matrix Gla protein 
MGST1	microsomal glutathione S-transferase 1 
MGST2	microsomal glutathione S-transferase 2 
MGST3	microsomal glutathione S-transferase 3 
MICB	MHC class I polypeptide-related sequence B 
MIEF2	mitochondrial elongation factor 2 
MIF	macrophage migration inhibitory factor 
MINK1	misshapen like kinase 1 
MIP	major intrinsic protein of lens fiber 
MIR27A	microRNA 27a 
MIR582	microRNA 582 
MKNK1	MAPK interacting serine/threonine kinase 1 
MKNK2	MAPK interacting serine/threonine kinase 2 
MLH1	mutL homolog 1 
MLLT3	MLLT3 super elongation complex subunit 
MLNR	motilin receptor 
MMAA	metabolism of cobalamin associated A 
MMAB	metabolism of cobalamin associated B 
MMACHC	metabolism of cobalamin associated C 
MME	membrane metalloendopeptidase 
MMP1	matrix metallopeptidase 1 
MMP10	matrix metallopeptidase 10 
MMP11	matrix metallopeptidase 11 
MMP12	matrix metallopeptidase 12 
MMP13	matrix metallopeptidase 13 
MMP14	matrix metallopeptidase 14 
MMP15	matrix metallopeptidase 15 
MMP16	matrix metallopeptidase 16 
MMP17	matrix metallopeptidase 17 
MMP19	matrix metallopeptidase 19 
MMP2	matrix metallopeptidase 2 
MMP20	matrix metallopeptidase 20 
MMP21	matrix metallopeptidase 21 
MMP23B	matrix metallopeptidase 23B 
MMP24	matrix metallopeptidase 24 
MMP25	matrix metallopeptidase 25 
MMP26	matrix metallopeptidase 26 
MMP27	matrix metallopeptidase 27 
MMP28	matrix metallopeptidase 28 
MMP3	matrix metallopeptidase 3 
MMP7	matrix metallopeptidase 7 
MMP8	matrix metallopeptidase 8 
MMP9	matrix metallopeptidase 9 
MMUT	methylmalonyl-CoA mutase 
MOB3B	MOB kinase activator 3B 
MOCOS	molybdenum cofactor sulfurase 
MPG	N-methylpurine DNA glycosylase 
MPL	MPL proto-oncogene, thrombopoietin receptor 
MPO	myeloperoxidase 
MR1	major histocompatibility complex, class I-related 
MRC1	mannose receptor C-type 1 
MRTFA	myocardin related transcription factor A 
MS4A1	membrane spanning 4-domains A1 
MS4A2	membrane spanning 4-domains A2 
MSANTD1	Myb/SANT DNA binding domain containing 1 
MSLN	mesothelin 
MSMO1	methylsterol monooxygenase 1 
MSRA	methionine sulfoxide reductase A 
MSRB1	methionine sulfoxide reductase B1 
MSRB2	methionine sulfoxide reductase B2 
MST1R	macrophage stimulating 1 receptor 
MSTN	myostatin 
MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6 
MT-CO1	mitochondrially encoded cytochrome c oxidase I 
MT-CO2	mitochondrially encoded cytochrome c oxidase II 
MT-CO3	mitochondrially encoded cytochrome c oxidase III 
MT-CYB	mitochondrially encoded cytochrome b 
MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 
MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 
MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 
MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 
MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L 
MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 
MT-RNR1	mitochondrially encoded 12S rRNA 
MT1A	metallothionein 1A 
MT1B	metallothionein 1B 
MT1DP	metallothionein 1D, pseudogene 
MT1E	metallothionein 1E 
MT1F	metallothionein 1F 
MT1G	metallothionein 1G 
MT1H	metallothionein 1H 
MT1HL1	metallothionein 1H like 1 
MT1L	metallothionein 1L, pseudogene 
MT1M	metallothionein 1M 
MT1X	metallothionein 1X 
MT2A	metallothionein 2A 
MT3	metallothionein 3 
MT4	metallothionein 4 
MTAP	methylthioadenosine phosphorylase 
MTF1	metal regulatory transcription factor 1 
MTFMT	mitochondrial methionyl-tRNA formyltransferase 
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase 
MTHFR	methylenetetrahydrofolate reductase 
MTNR1A	melatonin receptor 1A 
MTNR1B	melatonin receptor 1B 
MTOR	mechanistic target of rapamycin kinase 
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase 
MTRF1L	mitochondrial translational release factor 1 like 
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase 
MTTP	microsomal triglyceride transfer protein 
MUC1	mucin 1, cell surface associated 
MUC16	mucin 16, cell surface associated 
MUC2	mucin 2, oligomeric mucus/gel-forming 
MUSK	muscle associated receptor tyrosine kinase 
MUTYH	mutY DNA glycosylase 
MVK	mevalonate kinase 
MX1	MX dynamin like GTPase 1 
MYC	MYC proto-oncogene, bHLH transcription factor 
MYCN	MYCN proto-oncogene, bHLH transcription factor 
MYD88	MYD88 innate immune signal transduction adaptor 
MYH11	myosin heavy chain 11 
MYH14	myosin heavy chain 14 
MYH7	myosin heavy chain 7 
MYH9	myosin heavy chain 9 
MYL12A	myosin light chain 12A 
MYL6B	myosin light chain 6B 
MYLIP	myosin regulatory light chain interacting protein 
MYLK	myosin light chain kinase 
MYLK2	myosin light chain kinase 2 
MYLK3	myosin light chain kinase 3 
MYLK4	myosin light chain kinase family member 4 
MYO1E	myosin IE 
MYO1H	myosin IH 
MYO3A	myosin IIIA 
MYT1L	myelin transcription factor 1 like 
N6AMT1	N-6 adenine-specific DNA methyltransferase 1 
NAAA	N-acylethanolamine acid amidase 
NADSYN1	NAD synthetase 1 
NAE1	NEDD8 activating enzyme E1 subunit 1 
NAGA	alpha-N-acetylgalactosaminidase 
NAGK	N-acetylglucosamine kinase 
NAGLU	N-acetyl-alpha-glucosaminidase 
NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase 
NAGS	N-acetylglutamate synthase 
NALCN	sodium leak channel, non-selective 
NAMPT	nicotinamide phosphoribosyltransferase 
NAPEPLD	N-acyl phosphatidylethanolamine phospholipase D 
NARS1	asparaginyl-tRNA synthetase 1 
NARS2	asparaginyl-tRNA synthetase 2, mitochondrial 
NAT1	N-acetyltransferase 1 
NAT2	N-acetyltransferase 2 
NBEA	neurobeachin 
NCAM1	neural cell adhesion molecule 1 
NCAN	neurocan 
NCF1	neutrophil cytosolic factor 1 
NCF2	neutrophil cytosolic factor 2 
NCF4	neutrophil cytosolic factor 4 
NCOA1	nuclear receptor coactivator 1 
NCOA2	nuclear receptor coactivator 2 
NCOA5	nuclear receptor coactivator 5 
NCS1	neuronal calcium sensor 1 
NDST1	N-deacetylase and N-sulfotransferase 1 
NDUFA1	NADH:ubiquinone oxidoreductase subunit A1 
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10 
NDUFA11	NADH:ubiquinone oxidoreductase subunit A11 
NDUFA12	NADH:ubiquinone oxidoreductase subunit A12 
NDUFA13	NADH:ubiquinone oxidoreductase subunit A13 
NDUFA2	NADH:ubiquinone oxidoreductase subunit A2 
NDUFA3	NADH:ubiquinone oxidoreductase subunit A3 
NDUFA4	NDUFA4 mitochondrial complex associated 
NDUFA4L2	NDUFA4 mitochondrial complex associated like 2 
NDUFA5	NADH:ubiquinone oxidoreductase subunit A5 
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6 
NDUFA7	NADH:ubiquinone oxidoreductase subunit A7 
NDUFA8	NADH:ubiquinone oxidoreductase subunit A8 
NDUFA9	NADH:ubiquinone oxidoreductase subunit A9 
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 
NDUFB1	NADH:ubiquinone oxidoreductase subunit B1 
NDUFB10	NADH:ubiquinone oxidoreductase subunit B10 
NDUFB2	NADH:ubiquinone oxidoreductase subunit B2 
NDUFB3	NADH:ubiquinone oxidoreductase subunit B3 
NDUFB4	NADH:ubiquinone oxidoreductase subunit B4 
NDUFB5	NADH:ubiquinone oxidoreductase subunit B5 
NDUFB6	NADH:ubiquinone oxidoreductase subunit B6 
NDUFB7	NADH:ubiquinone oxidoreductase subunit B7 
NDUFB8	NADH:ubiquinone oxidoreductase subunit B8 
NDUFB9	NADH:ubiquinone oxidoreductase subunit B9 
NDUFC1	NADH:ubiquinone oxidoreductase subunit C1 
NDUFC2	NADH:ubiquinone oxidoreductase subunit C2 
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1 
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2 
NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3 
NDUFS4	NADH:ubiquinone oxidoreductase subunit S4 
NDUFS5	NADH:ubiquinone oxidoreductase subunit S5 
NDUFS6	NADH:ubiquinone oxidoreductase subunit S6 
NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 
NDUFS8	NADH:ubiquinone oxidoreductase core subunit S8 
NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1 
NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2 
NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 
NECTIN4	nectin cell adhesion molecule 4 
NEDD4	NEDD4 E3 ubiquitin protein ligase 
NEDD4L	NEDD4 like E3 ubiquitin protein ligase 
NEIL1	nei like DNA glycosylase 1 
NEIL2	nei like DNA glycosylase 2 
NEK1	NIMA related kinase 1 
NEK11	NIMA related kinase 11 
NEK2	NIMA related kinase 2 
NEK3	NIMA related kinase 3 
NEK4	NIMA related kinase 4 
NEK5	NIMA related kinase 5 
NEK9	NIMA related kinase 9 
NELFCD	negative elongation factor complex member C/D 
NEU1	neuraminidase 1 
NEU2	neuraminidase 2 
NEUROD1	neuronal differentiation 1 
NFATC1	nuclear factor of activated T cells 1 
NFATC2	nuclear factor of activated T cells 2 
NFE2L1	nuclear factor, erythroid 2 like 1 
NFIB	nuclear factor I B 
NFKB1	nuclear factor kappa B subunit 1 
NFKB2	nuclear factor kappa B subunit 2 
NFKBIA	NFKB inhibitor alpha 
NFS1	NFS1 cysteine desulfurase 
NGF	nerve growth factor 
NID1	nidogen 1 
NIM1K	NIM1 serine/threonine protein kinase 
NIP7	nucleolar pre-rRNA processing protein NIP7 
NISCH	nischarin 
NME1	NME/NM23 nucleoside diphosphate kinase 1 
NME2	NME/NM23 nucleoside diphosphate kinase 2 
NMNAT1	nicotinamide nucleotide adenylyltransferase 1 
NMNAT3	nicotinamide nucleotide adenylyltransferase 3 
NMRAL1	NmrA like redox sensor 1 
NMT1	N-myristoyltransferase 1 
NMT2	N-myristoyltransferase 2 
NNMT	nicotinamide N-methyltransferase 
NNT	nicotinamide nucleotide transhydrogenase 
NOD2	nucleotide binding oligomerization domain containing 2 
NOLC1	nucleolar and coiled-body phosphoprotein 1 
NOMO1	NODAL modulator 1 
NOS1	nitric oxide synthase 1 
NOS1AP	nitric oxide synthase 1 adaptor protein 
NOS2	nitric oxide synthase 2 
NOS3	nitric oxide synthase 3 
NOTCH4	notch receptor 4 
NOX1	NADPH oxidase 1 
NOXO1	NADPH oxidase organizer 1 
NPC1L1	NPC1 like intracellular cholesterol transporter 1 
NPEPPS	aminopeptidase puromycin sensitive 
NPHS1	NPHS1 adhesion molecule, nephrin 
NPIPB8	nuclear pore complex interacting protein family member B8 
NPM1	nucleophosmin 1 
NPPA	natriuretic peptide A 
NPPA-AS1	NPPA antisense RNA 1
NPPB	natriuretic peptide B 
NPR1	natriuretic peptide receptor 1 
NPR2	natriuretic peptide receptor 2 
NPR3	natriuretic peptide receptor 3 
NPSR1	neuropeptide S receptor 1 
NPY	neuropeptide Y 
NPY1R	neuropeptide Y receptor Y1 
NPY2R	neuropeptide Y receptor Y2 
NPY4R	neuropeptide Y receptor Y4 
NPY5R	neuropeptide Y receptor Y5 
NQO1	NAD(P)H quinone dehydrogenase 1 
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2 
NR0B1	nuclear receptor subfamily 0 group B member 1 
NR1D1	nuclear receptor subfamily 1 group D member 1 
NR1D2	nuclear receptor subfamily 1 group D member 2 
NR1H2	nuclear receptor subfamily 1 group H member 2 
NR1H3	nuclear receptor subfamily 1 group H member 3 
NR1H4	nuclear receptor subfamily 1 group H member 4 
NR1I2	nuclear receptor subfamily 1 group I member 2 
NR1I3	nuclear receptor subfamily 1 group I member 3 
NR2F1	nuclear receptor subfamily 2 group F member 1 
NR3C1	nuclear receptor subfamily 3 group C member 1 
NR3C2	nuclear receptor subfamily 3 group C member 2 
NR4A3	nuclear receptor subfamily 4 group A member 3 
NR5A1	nuclear receptor subfamily 5 group A member 1 
NRAS	NRAS proto-oncogene, GTPase 
NRG1	neuregulin 1 
NRG3	neuregulin 3 
NRIP1	nuclear receptor interacting protein 1 
NRP1	neuropilin 1 
NRP2	neuropilin 2 
NRXN1	neurexin 1 
NSDHL	NAD(P) dependent steroid dehydrogenase-like 
NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase 
NT5C	5', 3'-nucleotidase, cytosolic 
NT5C1A	5'-nucleotidase, cytosolic IA 
NT5C2	5'-nucleotidase, cytosolic II 
NT5C3A	5'-nucleotidase, cytosolic IIIA 
NT5E	5'-nucleotidase ecto 
NT5M	5',3'-nucleotidase, mitochondrial 
NTNG1	netrin G1 
NTRK1	neurotrophic receptor tyrosine kinase 1 
NTRK2	neurotrophic receptor tyrosine kinase 2 
NTRK3	neurotrophic receptor tyrosine kinase 3 
NTSR2	neurotensin receptor 2 
NUAK1	NUAK family kinase 1 
NUAK2	NUAK family kinase 2 
NUBPL	nucleotide binding protein like 
NUCB1	nucleobindin 1 
NUCB2	nucleobindin 2 
NUDC	nuclear distribution C, dynein complex regulator 
NUDT15	nudix hydrolase 15 
NUDT9	nudix hydrolase 9 
NUMA1	nuclear mitotic apparatus protein 1 
OAS1	2'-5'-oligoadenylate synthetase 1 
OASL	2'-5'-oligoadenylate synthetase like 
OAT	ornithine aminotransferase 
OAZ1	ornithine decarboxylase antizyme 1 
OAZ2	ornithine decarboxylase antizyme 2 
OAZ3	ornithine decarboxylase antizyme 3 
OBP2A	odorant binding protein 2A 
OCRL	OCRL inositol polyphosphate-5-phosphatase 
ODC1	ornithine decarboxylase 1 
OGA	O-GlcNAcase 
OGDH	oxoglutarate dehydrogenase 
OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1 
OGFOD2	2-oxoglutarate and iron dependent oxygenase domain containing 2 
OPCML	opioid binding protein/cell adhesion molecule like 
OPLAH	5-oxoprolinase, ATP-hydrolysing 
OPRD1	opioid receptor delta 1 
OPRK1	opioid receptor kappa 1 
OPRL1	opioid related nociceptin receptor 1 
OPRM1	opioid receptor mu 1 
OR52E2	olfactory receptor family 52 subfamily E member 2 
OR52J2P	olfactory receptor family 52 subfamily J member 2 pseudogene 
OR52J3	olfactory receptor family 52 subfamily J member 3 
ORM1	orosomucoid 1 
ORM2	orosomucoid 2 
OTC	ornithine carbamoyltransferase 
OTOS	otospiralin 
OXCT1	3-oxoacid CoA-transferase 1 
OXCT2	3-oxoacid CoA-transferase 2 
OXSR1	oxidative stress responsive kinase 1 
OXT	oxytocin/neurophysin I prepropeptide 
OXTR	oxytocin receptor 
P2RX4	purinergic receptor P2X 4 
P2RX7	purinergic receptor P2X 7 
P2RY1	purinergic receptor P2Y1 
P2RY11	purinergic receptor P2Y11 
P2RY12	purinergic receptor P2Y12 
P2RY2	purinergic receptor P2Y2 
P3H1	prolyl 3-hydroxylase 1 
P3H2	prolyl 3-hydroxylase 2 
P3H3	prolyl 3-hydroxylase 3 
P4HA1	prolyl 4-hydroxylase subunit alpha 1 
P4HA2	prolyl 4-hydroxylase subunit alpha 2 
P4HB	prolyl 4-hydroxylase subunit beta 
P4HTM	prolyl 4-hydroxylase, transmembrane 
PACSIN2	protein kinase C and casein kinase substrate in neurons 2 
PADI1	peptidyl arginine deiminase 1 
PADI2	peptidyl arginine deiminase 2 
PADI3	peptidyl arginine deiminase 3 
PADI4	peptidyl arginine deiminase 4 
PADI6	peptidyl arginine deiminase 6 
PAEP	progestagen associated endometrial protein 
PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3 
PAH	phenylalanine hydroxylase 
PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase 
PAK1	p21 (RAC1) activated kinase 1 
PAK2	p21 (RAC1) activated kinase 2 
PAK3	p21 (RAC1) activated kinase 3 
PAK4	p21 (RAC1) activated kinase 4 
PAK5	p21 (RAC1) activated kinase 5 
PAK6	p21 (RAC1) activated kinase 6 
PAM	peptidylglycine alpha-amidating monooxygenase 
PANX1	pannexin 1 
PAPLN	papilin, proteoglycan like sulfated glycoprotein 
PAPOLA	poly(A) polymerase alpha 
PAPPA	pappalysin 1 
PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1 
PARD3B	par-3 family cell polarity regulator beta 
PARK7	Parkinsonism associated deglycase 
PARP1	poly(ADP-ribose) polymerase 1 
PARP11	poly(ADP-ribose) polymerase family member 11 
PARP15	poly(ADP-ribose) polymerase family member 15 
PARP2	poly(ADP-ribose) polymerase 2 
PARP3	poly(ADP-ribose) polymerase family member 3 
PARS2	prolyl-tRNA synthetase 2, mitochondrial 
PAX4	paired box 4 
PC	pyruvate carboxylase 
PCBD1	pterin-4 alpha-carbinolamine dehydratase 1 
PCCA	propionyl-CoA carboxylase subunit alpha 
PCCB	propionyl-CoA carboxylase subunit beta 
PCDH19	protocadherin 19 
PCK1	phosphoenolpyruvate carboxykinase 1 
PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial 
PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase 
PCNA	proliferating cell nuclear antigen 
PCSK1	proprotein convertase subtilisin/kexin type 1 
PCSK2	proprotein convertase subtilisin/kexin type 2 
PCSK9	proprotein convertase subtilisin/kexin type 9 
PCTP	phosphatidylcholine transfer protein 
PCYT1A	phosphate cytidylyltransferase 1, choline, alpha 
PCYT1B	phosphate cytidylyltransferase 1, choline, beta 
PCYT2	phosphate cytidylyltransferase 2, ethanolamine 
PDCD1	programmed cell death 1 
PDCD6	programmed cell death 6 
PDE10A	phosphodiesterase 10A 
PDE11A	phosphodiesterase 11A 
PDE1A	phosphodiesterase 1A 
PDE1B	phosphodiesterase 1B 
PDE1C	phosphodiesterase 1C 
PDE2A	phosphodiesterase 2A 
PDE3A	phosphodiesterase 3A 
PDE3B	phosphodiesterase 3B 
PDE4A	phosphodiesterase 4A 
PDE4B	phosphodiesterase 4B 
PDE4C	phosphodiesterase 4C 
PDE4D	phosphodiesterase 4D 
PDE5A	phosphodiesterase 5A 
PDE6A	phosphodiesterase 6A 
PDE6B	phosphodiesterase 6B 
PDE6C	phosphodiesterase 6C 
PDE6G	phosphodiesterase 6G 
PDE6H	phosphodiesterase 6H 
PDE7A	phosphodiesterase 7A 
PDE7B	phosphodiesterase 7B 
PDE8A	phosphodiesterase 8A 
PDE8B	phosphodiesterase 8B 
PDE9A	phosphodiesterase 9A 
PDF	peptide deformylase, mitochondrial 
PDGFB	platelet derived growth factor subunit B 
PDGFD	platelet derived growth factor D 
PDGFRA	platelet derived growth factor receptor alpha 
PDGFRB	platelet derived growth factor receptor beta 
PDHA1	pyruvate dehydrogenase E1 alpha 1 subunit 
PDHA2	pyruvate dehydrogenase E1 alpha 2 subunit 
PDHB	pyruvate dehydrogenase E1 beta subunit 
PDIA2	protein disulfide isomerase family A member 2 
PDIA3	protein disulfide isomerase family A member 3 
PDK1	pyruvate dehydrogenase kinase 1 
PDK2	pyruvate dehydrogenase kinase 2 
PDK3	pyruvate dehydrogenase kinase 3 
PDK4	pyruvate dehydrogenase kinase 4 
PDPK1	3-phosphoinositide dependent protein kinase 1 
PDXDC1	pyridoxal dependent decarboxylase domain containing 1 
PDXK	pyridoxal kinase 
PDXP	pyridoxal phosphatase 
PDYN	prodynorphin 
PEAR1	platelet endothelial aggregation receptor 1 
PEBP1	phosphatidylethanolamine binding protein 1 
PEBP4	phosphatidylethanolamine binding protein 4 
PECR	peroxisomal trans-2-enoyl-CoA reductase 
PEF1	penta-EF-hand domain containing 1 
PERP	p53 apoptosis effector related to PMP22 
PF4	platelet factor 4 
PFAS	phosphoribosylformylglycinamidine synthase 
PFKFB1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 
PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4 
PFN1	profilin 1 
PFN2	profilin 2 
PGA5	pepsinogen A5 
PGAM1	phosphoglycerate mutase 1 
PGAM2	phosphoglycerate mutase 2 
PGD	phosphogluconate dehydrogenase 
PGF	placental growth factor 
PGGT1B	protein geranylgeranyltransferase type I subunit beta 
PGK1	phosphoglycerate kinase 1 
PGK2	phosphoglycerate kinase 2 
PGLYRP2	peptidoglycan recognition protein 2 
PGLYRP3	peptidoglycan recognition protein 3 
PGLYRP4	peptidoglycan recognition protein 4 
PGM1	phosphoglucomutase 1 
PGR	progesterone receptor 
PGRMC1	progesterone receptor membrane component 1 
PHB	prohibitin 
PHB2	prohibitin 2 
PHGDH	phosphoglycerate dehydrogenase 
PHKG1	phosphorylase kinase catalytic subunit gamma 1 
PHOSPHO1	phosphoethanolamine/phosphocholine phosphatase 1 
PHYH	phytanoyl-CoA 2-hydroxylase 
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase 
PI4K2B	phosphatidylinositol 4-kinase type 2 beta 
PI4KB	phosphatidylinositol 4-kinase beta 
PICALM	phosphatidylinositol binding clathrin assembly protein 
PICK1	protein interacting with PRKCA 1 
PIGB	phosphatidylinositol glycan anchor biosynthesis class B 
PIGM	phosphatidylinositol glycan anchor biosynthesis class M 
PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta 
PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma 
PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3 
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha 
PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta 
PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta 
PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma 
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 
PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 
PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 
PIM1	Pim-1 proto-oncogene, serine/threonine kinase 
PIM3	Pim-3 proto-oncogene, serine/threonine kinase 
PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 
PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta 
PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma 
PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma 
PIPOX	pipecolic acid and sarcosine oxidase 
PISD	phosphatidylserine decarboxylase 
PITPNA	phosphatidylinositol transfer protein alpha 
PKD1L3	polycystin 1 like 3, transient receptor potential channel interacting 
PKD2	polycystin 2, transient receptor potential cation channel 
PKD2L1	polycystin 2 like 1, transient receptor potential cation channel 
PKIA	cAMP-dependent protein kinase inhibitor alpha 
PKLR	pyruvate kinase L/R 
PKM	pyruvate kinase M1/2 
PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 
PKN1	protein kinase N1 
PKN2	protein kinase N2 
PLA2G10	phospholipase A2 group X 
PLA2G1B	phospholipase A2 group IB 
PLA2G2A	phospholipase A2 group IIA 
PLA2G2D	phospholipase A2 group IID 
PLA2G2E	phospholipase A2 group IIE 
PLA2G4A	phospholipase A2 group IVA 
PLA2G6	phospholipase A2 group VI 
PLA2G7	phospholipase A2 group VII 
PLAT	plasminogen activator, tissue type 
PLAU	plasminogen activator, urokinase 
PLAUR	plasminogen activator, urokinase receptor 
PLCB1	phospholipase C beta 1 
PLCD1	phospholipase C delta 1 
PLCD3	phospholipase C delta 3 
PLCG1	phospholipase C gamma 1 
PLCL1	phospholipase C like 1 (inactive) 
PLD1	phospholipase D1 
PLD2	phospholipase D2 
PLEKHA1	pleckstrin homology domain containing A1 
PLEKHA4	pleckstrin homology domain containing A4 
PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2 
PLG	plasminogen 
PLIN1	perilipin 1 
PLIN3	perilipin 3 
PLK1	polo like kinase 1 
PLK2	polo like kinase 2 
PLK3	polo like kinase 3 
PLK4	polo like kinase 4 
PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 
PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 
PLOD3	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 
PLPBP	pyridoxal phosphate binding protein 
PLTP	phospholipid transfer protein 
PMCH	pro-melanin concentrating hormone 
PML	promyelocytic leukemia 
PMP2	peripheral myelin protein 2 
PMS2	PMS1 homolog 2, mismatch repair system component 
PNLIP	pancreatic lipase 
PNLIPRP2	pancreatic lipase related protein 2 (gene/pseudogene) 
PNMT	phenylethanolamine N-methyltransferase 
PNP	purine nucleoside phosphorylase 
PNPLA3	patatin like phospholipase domain containing 3 
PNPO	pyridoxamine 5'-phosphate oxidase 
POLA1	DNA polymerase alpha 1, catalytic subunit 
POLA2	DNA polymerase alpha 2, accessory subunit 
POLB	DNA polymerase beta 
POLE	DNA polymerase epsilon, catalytic subunit 
POLE2	DNA polymerase epsilon 2, accessory subunit 
POLE3	DNA polymerase epsilon 3, accessory subunit 
POLE4	DNA polymerase epsilon 4, accessory subunit 
POLG	DNA polymerase gamma, catalytic subunit 
POLK	DNA polymerase kappa 
POLR2A	RNA polymerase II subunit A 
POLR3G	RNA polymerase III subunit G 
POMC	proopiomelanocortin 
PON1	paraoxonase 1 
PON2	paraoxonase 2 
PON3	paraoxonase 3 
POR	cytochrome p450 oxidoreductase 
